match,Name,overs,runs,wickets,Econ,zero,four,six,wide,noball
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Deepak Chahar,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Tushar Deshpande,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Maheesh Theekshana,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Ravindra Jadeja,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Matheesha Pathirana,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Mohammed Shami,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Hardik Pandya,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Rashid Khan,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Noor Ahmad,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Josh Little,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Mohit Sharma,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,4,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,4,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,4,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,4,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,4,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,3,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,1,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,3,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,3,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,2,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,3,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,38,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,56,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,36,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,38,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,44,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,29,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,14,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,44,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,17,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,30,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,36,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,1,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,1,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,2,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,2,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,3,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,9.5,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,14,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,9,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,9.5,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,11,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,9.66,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,14,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,14.66,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,5.66,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,15,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,12,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,5,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,4,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,8,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,3,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,7,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,5,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,1,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,2,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,6,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,1,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,4,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,3,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,7,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,3,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,3,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,4,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,4,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,1,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,4,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,0,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,0,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,2,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,1,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,3,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,2,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,1,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,2,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,0,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,1,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,3,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,0,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,3,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,3,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,0,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,0,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,0,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,0,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,2,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,0,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,1,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,0,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,3,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,0,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,0,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,,0
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,,0
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,,0
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,,0
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,,0
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,,0
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,,0
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,,0
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,,0
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,,0
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,,,0
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Jason Behrendorff,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Cameron Green,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Akash Madhwal,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Chris Jordan,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Piyush Chawla,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Kumar Kartikeya,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Mohammed Shami,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Hardik Pandya,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Rashid Khan,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Noor Ahmad,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Josh Little,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",Mohit Sharma,,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,4,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,3,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,4,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,4,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,3,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,2,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,3,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,2,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,4,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,4,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,3,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,2.2,,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,28,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,35,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,52,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,56,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,45,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,15,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,41,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,24,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,33,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,35,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,26,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,10,,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,0,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,0,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,1,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,0,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,1,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,0,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,2,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,0,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,2,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,0,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,1,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,5,,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,7,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,11.66,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,13,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,14,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,15,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,7.5,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,13.66,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,12,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,8.25,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,8.75,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,8.66,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,4.28,,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,8,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,4,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,7,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,6,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,0,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,2,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,6,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,4,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,8,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,8,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,6,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,9,,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,4,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,3,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,3,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,6,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,2,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,0,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,6,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,3,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,5,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,1,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,2,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,0,,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,0,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,2,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,4,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,3,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,3,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,1,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,2,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,1,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,0,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,2,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,1,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,1,,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,0,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,0,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,0,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,4,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,1,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,0,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,0,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,1,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,1,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,1,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,1,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,0,
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,0
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,0
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,2
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,0
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,0
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,0
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,0
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,0
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,0
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,1
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,0
"Qualifier 2 (N), Ahmedabad, May 26, 2023, Indian Premier League",,,,,,,,,,0
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Krunal Pandya,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Krishnappa Gowtham,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Naveen-ul-Haq,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Yash Thakur,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Mohsin Khan,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Ravi Bishnoi,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Jason Behrendorff,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Akash Madhwal,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Chris Jordan,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Cameron Green,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Hrithik Shokeen,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",Piyush Chawla,,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,4,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,1,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,4,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,4,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,3,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,4,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,3,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,3.3,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,2,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,3,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,1,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,4,,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,38,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,8,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,38,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,34,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,24,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,30,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,21,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,5,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,7,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,15,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,18,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,28,,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,0,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,0,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,4,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,3,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,1,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,0,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,0,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,5,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,1,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,0,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,0,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,1,,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,9.5,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,8,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,9.5,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,8.5,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,8,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,7.5,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,7,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,1.42,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,3.5,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,5,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,18,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,7,,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,7,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,4,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,10,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,12,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,9,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,4,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,7,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,17,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,9,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,7,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,1,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,9,,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,,5,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,,2,,,
"Eliminator (N), Chennai, May 24, 2023, Indian Premier League",,,,,,,3,,,
